feed,title,long_url,short_url
HexDSL-Blog,A desk. Sans Monitor,https://dandelion-utilitarian.com/2024/11/a-desk-sans-monitor/,https://da.gd/4BVGO
HexDSL-Blog,The micro mirror miracle. (Micro.hexdsl.com),https://dandelion-utilitarian.com/2024/11/the-micro-mirror-miracle-micro-hexdsl-com/,https://da.gd/pc20v
HexDSL-Blog,Time can’t split. Projects eat time.,https://dandelion-utilitarian.com/2024/11/time-cant-split-projects-eat-time/,https://da.gd/7GiNZJ
HexDSL-Blog,"Time, the secret eBay offset",https://dandelion-utilitarian.com/2024/11/time-the-secret-ebay-offset/,https://da.gd/SY6kg
HexDSL-Blog,Download: Tales of the Denoumeverse – Week (A book I wrote),https://dandelion-utilitarian.com/2024/11/download-tales-of-the-denoumeverse-week-a-book-i-wrote/,https://da.gd/W2vg
HexDSL-Blog,Ejecting things,https://dandelion-utilitarian.com/2024/11/ejecting-things/,https://da.gd/qngIX
HexDSL-Blog,Download: In Her We Trust (A book I wrote),https://dandelion-utilitarian.com/2024/11/download-in-her-we-trust-a-book-i-wrote/,https://da.gd/T69hcQ
HexDSL-Blog,Download: Denouement (A book I wrote),https://dandelion-utilitarian.com/2024/11/download-denouement-a-book-i-wrote/,https://da.gd/oYjzkG
HexDSL-Blog,Download: Nancy & Holmes (A book I wrote),https://dandelion-utilitarian.com/2024/10/download-nancy-holmes-a-book-i-wrote/,https://da.gd/XVSU
HexDSL-Blog,"Download: Chronicles of Ned – Space, to Breathe (A book I wrote)",https://dandelion-utilitarian.com/2024/10/download-chronicles-of-ned-space-to-breathe-a-book-id-wrote/,https://da.gd/ulSKs3
